pulse,frames,n_frames,Alice0,Alice1,Bob0,Bob1,total,Alice0_frac,Alice1_frac,Bob0_frac,Bob1_frac
0,"36,37,38,39",4,1261.75,6539.0,1493.5,2736.5,12030.75,0.10487708580096836,0.54352388670698,0.12414022400930948,0.22745880348274214
1,"81,82,83",3,1697.0,3469.6666666666665,1792.3333333333333,3546.6666666666665,10505.666666666666,0.16153187168829522,0.33026620553986735,0.17060633943586,0.3375955833359774
2,"155,156,157",3,4424.666666666667,1069.3333333333333,4723.0,1300.3333333333333,11517.333333333334,0.38417457744848343,0.09284556610326464,0.410077564250984,0.11290229219726787
3,"189,190,191",3,4577.333333333333,1107.6666666666667,5184.333333333333,1699.0,12568.333333333332,0.3641957300092826,0.08813154754011406,0.4124917119745392,0.1351810104760642
4,"251,252,253,254",4,1518.0,6528.25,1820.0,2825.5,12691.75,0.11960525538243347,0.5143695707841708,0.14340024031358953,0.22262493351980617
5,"318,319,320,321",4,3572.0,1236.5,3497.75,1203.25,9509.5,0.3756243756243756,0.13002786686997214,0.3678163941321836,0.12653136337346862
6,"351,352,353,354,355",5,1936.8,1143.4,4432.8,1160.8,8673.8,0.22329313564988817,0.131822269362909,0.5110562844428048,0.1338283105443981
7,"425,426,427",3,1742.0,5824.666666666667,2585.6666666666665,3353.0,13505.333333333334,0.12898607957350183,0.4312864053707177,0.19145522756441896,0.24827228749136143
8,"459,460,461",3,1800.0,6024.666666666667,2140.0,3566.6666666666665,13531.333333333334,0.1330245849140267,0.4452382125437257,0.15815145095334285,0.26358575158890474
9,"490,491,492,493",4,1230.25,4682.5,2012.5,1837.25,9762.5,0.1260179257362356,0.4796414852752881,0.20614596670934698,0.1881946222791293
